@relation PartTreinamento_ConcluidoDesertou

@attribute Sexo numeric
@attribute Idade numeric
@attribute ZonaMoradia_ZONARESIDENCIAL numeric
@attribute ZonaMoradia_ASENTAMIENTOHUMANO numeric
@attribute ZonaMoradia_URBANIZACION numeric
@attribute ZonaMoradia_CASCOURBANO numeric
@attribute ZonaMoradia_PUEBLOJOVEN numeric
@attribute ZonaMoradia_OTROS numeric
@attribute ZonaMoradia_ZONARURAL numeric
@attribute Trabalha numeric
@attribute EstadoCivil_SOLTERO numeric
@attribute EstadoCivil_CASADO numeric
@attribute EstadoCivil_DIVORCIADO numeric
@attribute EstadoCivil_DESCONOCIDO numeric
@attribute EstadoCivil_SEPARADO numeric
@attribute EstadoCivil_CONVIVIENTE numeric
@attribute EstadoCivil_VIUDO numeric
@attribute Escola numeric
@attribute Religiao_CRISTIANOCATOLICO numeric
@attribute Religiao_OTRARELIGION numeric
@attribute Religiao_CRISTIANOEVANGELICO numeric
@attribute Religiao_AGNOSTICO numeric
@attribute CursoGraduacao numeric
@attribute Modalidade numeric
@attribute PeriodoIngreso numeric
@attribute NotaExameAdmissao numeric
@attribute TotalNiveisCurso numeric
@attribute TotalCreditosCurso numeric
@attribute TotalNiveisCursados numeric
@attribute PorcentagemNC numeric
@attribute TotalCreditosCursados numeric
@attribute PorcentagemCC numeric
@attribute PeriodoUltimaMatricula numeric
@attribute UltimoNivelEstudado numeric
@attribute PromedioUltimoPeriodo numeric
@attribute Class {CONCLUIDO,DESERTOU}

@data
0,0.237288,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.112222,0,0,0,0.5,0.506849,0.540323,0.540499,0.445556,0.818182,0.638536,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.112222,0,0,0,0.333333,0.342466,0.459677,0.459885,0.335556,0.818182,0.605999,CONCLUIDO
1,0.237288,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.30303,0,0.111111,0,0,0,1,1,0.866935,0.866987,0.778889,0,0,DESERTOU
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.333333,0,0.002222,0.14,0,0,0.75,0.753425,0.875,0.875048,0.555556,0.818182,0.915099,CONCLUIDO
0,0.559322,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.666667,0,0.002222,0,0,0,0.75,0.753425,0.75,0.750096,0.335556,0.818182,0.610066,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.575758,1,0.112222,0,0,0,0.75,0.753425,0.782258,0.782342,0.445556,0.363636,0.695984,CONCLUIDO
0,0.186441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.575758,1,0.111111,0,0,0,0.833333,0.835616,0.858871,0.858925,0.445556,0.363636,0.728521,CONCLUIDO
1,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.575758,1,0.111111,0,0,0,0.833333,0.835616,0.883065,0.883109,0.445556,0.636364,0.735638,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.575758,1,0.111111,0,0,0,0.833333,0.835616,0.858871,0.858925,0.445556,0.363636,0.694967,CONCLUIDO
1,0.644068,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002222,0,0,0,0.5,0.506849,0.612903,0.613052,0.335556,0.818182,0.682766,CONCLUIDO
